,trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right,info_amb,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes
185,185,20.0,25.0,0.44,0.9,1.0,0.02,1.0,0.0,26.0,24.0,20.0,25.0,0.02,0.02,1.0,0.0,0.48,0.3333333333333333,0.48,1.0,0.0,0.0,0.48,20.0,25.0,,0.3333333333333333
186,186,44.0,61.0,0.26,0.34,1.0,1.0,33.0,17.0,36.0,14.0,44.0,61.0,1.0,1.0,1.0,0.34,0.28,0.34,0.28,0.0,0.0,,,,,,
187,187,4.0,15.0,0.9,0.74,1.0,1.0,12.0,38.0,5.0,45.0,4.0,15.0,1.0,1.0,1.0,0.76,0.9,0.76,0.9,0.0,0.0,,,,,,
188,188,90.0,60.0,0.44,0.44,0.06,1.0,26.0,24.0,2.0,1.0,90.0,60.0,0.06,1.0,0.06,0.48,0.3333333333333333,0.48,0.4,0.0,1.0,0.3333333333333333,0.48,60.0,90.0,,0.4
189,189,11.0,2.0,0.78,0.96,1.0,1.0,2.0,48.0,12.0,38.0,11.0,2.0,1.0,1.0,1.0,0.96,0.76,0.96,0.76,0.0,0.0,,,,,,
190,190,12.0,134.0,0.06,0.72,1.0,1.0,14.0,36.0,46.0,4.0,12.0,134.0,1.0,1.0,1.0,0.72,0.08,0.72,0.08,0.0,0.0,,,,,,
191,191,11.0,8.0,0.68,0.22,0.2,1.0,39.0,11.0,2.0,8.0,11.0,8.0,0.2,1.0,0.2,0.22,0.8,0.22,0.75,0.0,1.0,0.8,0.22,8.0,11.0,,0.75
192,192,13.0,9.0,0.48,0.62,0.02,1.0,20.0,30.0,0.0,1.0,13.0,9.0,0.02,1.0,0.02,0.6,1.0,0.6,0.6666666666666666,0.0,1.0,1.0,0.6,9.0,13.0,,0.6666666666666666
193,193,47.0,99.0,0.16,0.64,0.4,1.0,19.0,31.0,17.0,3.0,47.0,99.0,0.4,1.0,0.4,0.62,0.15,0.62,0.18181818181818182,0.0,1.0,0.15,0.62,99.0,47.0,,0.18181818181818182
194,194,60.0,50.0,0.46,0.3,0.1,1.0,35.0,15.0,3.0,2.0,60.0,50.0,0.1,1.0,0.1,0.3,0.4,0.3,0.42857142857142855,0.0,1.0,0.4,0.3,50.0,60.0,,0.42857142857142855
195,195,-94.0,-75.0,0.88,0.3,0.8,1.0,41.0,9.0,15.0,25.0,-94.0,-75.0,0.8,1.0,0.8,0.18,0.625,0.18,0.6190476190476191,0.0,1.0,0.625,0.18,-75.0,-94.0,,0.6190476190476191
196,196,-47.0,-99.0,0.16,0.64,0.4,1.0,19.0,31.0,17.0,3.0,-47.0,-99.0,0.4,1.0,0.4,0.62,0.15,0.62,0.18181818181818182,0.0,1.0,0.15,0.62,-99.0,-47.0,,0.18181818181818182
197,197,-60.0,-50.0,0.46,0.3,0.1,1.0,35.0,15.0,3.0,2.0,-60.0,-50.0,0.1,1.0,0.1,0.3,0.4,0.3,0.42857142857142855,0.0,1.0,0.4,0.3,-50.0,-60.0,,0.42857142857142855
198,198,-5.0,-12.0,0.56,0.7,1.0,1.0,14.0,36.0,22.0,28.0,-5.0,-12.0,1.0,1.0,1.0,0.72,0.56,0.72,0.56,0.0,0.0,,,,,,
199,199,-30.0,-63.0,0.48,0.56,1.0,0.1,3.0,2.0,26.0,24.0,-30.0,-63.0,0.1,0.1,1.0,0.4,0.48,0.42857142857142855,0.48,1.0,0.0,0.4,0.48,-30.0,-63.0,,0.42857142857142855
200,200,-60.0,-94.0,0.16,0.88,1.0,0.02,0.0,1.0,42.0,8.0,-60.0,-94.0,0.02,0.02,1.0,1.0,0.16,0.6666666666666666,0.16,1.0,0.0,1.0,0.16,-60.0,-94.0,,0.6666666666666666
201,201,-94.0,-100.0,0.52,0.64,1.0,0.4,12.0,8.0,25.0,25.0,-94.0,-100.0,0.4,0.4,1.0,0.4,0.5,0.4090909090909091,0.5,1.0,0.0,0.4,0.5,-94.0,-100.0,,0.4090909090909091
202,202,-31.0,-75.0,0.4,0.16,1.0,1.0,42.0,8.0,30.0,20.0,-31.0,-75.0,1.0,1.0,1.0,0.16,0.4,0.16,0.4,0.0,0.0,,,,,,
203,203,-9.0,-13.0,0.62,0.48,1.0,0.8,20.0,20.0,19.0,31.0,-9.0,-13.0,0.8,0.8,1.0,0.5,0.62,0.5,0.62,1.0,0.0,0.5,0.62,-9.0,-13.0,,0.5
204,204,-70.0,-80.0,0.8,0.75,1.0,0.8,15.0,25.0,10.0,40.0,-70.0,-80.0,0.8,0.8,1.0,0.625,0.8,0.6190476190476191,0.8,1.0,0.0,0.625,0.8,-70.0,-80.0,,0.6190476190476191
205,205,9.0,13.0,0.62,0.48,1.0,0.8,20.0,20.0,19.0,31.0,9.0,13.0,0.8,0.8,1.0,0.5,0.62,0.5,0.62,1.0,0.0,0.5,0.62,9.0,13.0,,0.5
206,206,45.0,94.0,0.16,0.88,1.0,0.2,3.0,7.0,41.0,9.0,45.0,94.0,0.2,0.2,1.0,0.7,0.18,0.6666666666666666,0.18,1.0,0.0,0.7,0.18,45.0,94.0,,0.6666666666666666
207,207,28.0,40.0,0.38,0.74,1.0,1.0,13.0,37.0,31.0,19.0,28.0,40.0,1.0,1.0,1.0,0.74,0.38,0.74,0.38,0.0,0.0,,,,,,
208,208,62.0,22.0,0.68,0.28,1.0,1.0,37.0,13.0,15.0,35.0,62.0,22.0,1.0,1.0,1.0,0.26,0.7,0.26,0.7,0.0,0.0,,,,,,
209,209,118.0,32.0,0.38,0.2,1.0,1.0,39.0,11.0,31.0,19.0,118.0,32.0,1.0,1.0,1.0,0.22,0.38,0.22,0.38,0.0,0.0,,,,,,
210,210,-60.0,-81.0,0.38,0.64,1.0,0.2,3.0,7.0,31.0,19.0,-60.0,-81.0,0.2,0.2,1.0,0.7,0.38,0.6666666666666666,0.38,1.0,0.0,0.7,0.38,-60.0,-81.0,,0.6666666666666666
211,211,-100.0,-60.0,0.88,0.12,1.0,0.06,2.0,1.0,7.0,43.0,-100.0,-60.0,0.06,0.06,1.0,0.3333333333333333,0.86,0.4,0.86,1.0,0.0,0.3333333333333333,0.86,-100.0,-60.0,,0.4
212,212,-30.0,-48.0,0.56,0.76,1.0,1.0,12.0,38.0,22.0,28.0,-30.0,-48.0,1.0,1.0,1.0,0.76,0.56,0.76,0.56,0.0,0.0,,,,,,
213,213,-68.0,-40.0,0.52,0.44,0.2,1.0,26.0,24.0,8.0,2.0,-68.0,-40.0,0.2,1.0,0.2,0.48,0.2,0.48,0.25,0.0,1.0,0.2,0.48,-40.0,-68.0,,0.25
214,214,-37.0,-100.0,0.2,0.82,1.0,1.0,10.0,40.0,39.0,11.0,-37.0,-100.0,1.0,1.0,1.0,0.8,0.22,0.8,0.22,0.0,0.0,,,,,,
215,215,-78.0,-101.0,0.64,0.76,1.0,1.0,13.0,37.0,17.0,33.0,-78.0,-101.0,1.0,1.0,1.0,0.74,0.66,0.74,0.66,0.0,0.0,,,,,,
216,216,-36.0,-21.0,0.24,0.84,1.0,1.0,9.0,41.0,37.0,13.0,-36.0,-21.0,1.0,1.0,1.0,0.82,0.26,0.82,0.26,0.0,0.0,,,,,,
217,217,-125.0,-80.0,0.56,0.48,0.02,1.0,27.0,23.0,0.0,1.0,-125.0,-80.0,0.02,1.0,0.02,0.46,1.0,0.46,0.6666666666666666,0.0,1.0,1.0,0.46,-80.0,-125.0,,0.6666666666666666
218,218,-8.0,-12.0,0.92,0.76,1.0,0.1,1.0,4.0,4.0,46.0,-8.0,-12.0,0.1,0.1,1.0,0.8,0.92,0.7142857142857143,0.92,1.0,0.0,0.8,0.92,-8.0,-12.0,,0.7142857142857143
219,219,-40.0,-51.0,0.36,0.38,0.06,1.0,31.0,19.0,2.0,1.0,-40.0,-51.0,0.06,1.0,0.06,0.38,0.3333333333333333,0.38,0.4,0.0,1.0,0.3333333333333333,0.38,-51.0,-40.0,,0.4
220,220,20.0,44.0,0.42,0.86,0.2,1.0,7.0,43.0,1.0,9.0,20.0,44.0,0.2,1.0,0.2,0.86,0.9,0.86,0.8333333333333334,0.0,1.0,0.9,0.86,44.0,20.0,,0.8333333333333334
221,221,42.0,71.0,0.84,0.72,0.06,1.0,14.0,36.0,0.0,3.0,42.0,71.0,0.06,1.0,0.06,0.72,1.0,0.72,0.8,0.0,1.0,1.0,0.72,71.0,42.0,,0.8
222,222,15.0,17.0,0.58,0.58,1.0,1.0,21.0,29.0,21.0,29.0,15.0,17.0,1.0,1.0,1.0,0.58,0.58,0.58,0.58,0.0,0.0,,,,,,
223,223,130.0,68.0,0.42,0.22,1.0,1.0,38.0,12.0,28.0,22.0,130.0,68.0,1.0,1.0,1.0,0.24,0.44,0.24,0.44,0.0,0.0,,,,,,
224,224,70.0,80.0,0.8,0.75,1.0,0.8,15.0,25.0,10.0,40.0,70.0,80.0,0.8,0.8,1.0,0.625,0.8,0.6190476190476191,0.8,1.0,0.0,0.625,0.8,70.0,80.0,,0.6190476190476191
225,225,-62.0,-22.0,0.68,0.28,1.0,1.0,37.0,13.0,15.0,35.0,-62.0,-22.0,1.0,1.0,1.0,0.26,0.7,0.26,0.7,0.0,0.0,,,,,,
226,226,-22.0,-23.0,0.7,0.66,1.0,1.0,17.0,33.0,15.0,35.0,-22.0,-23.0,1.0,1.0,1.0,0.66,0.7,0.66,0.7,0.0,0.0,,,,,,
227,227,-63.0,-8.0,0.8,0.48,1.0,0.1,3.0,2.0,10.0,40.0,-63.0,-8.0,0.1,0.1,1.0,0.4,0.8,0.42857142857142855,0.8,1.0,0.0,0.4,0.8,-63.0,-8.0,,0.42857142857142855
228,228,-74.0,-88.0,0.6,0.68,1.0,0.06,1.0,2.0,20.0,30.0,-74.0,-88.0,0.06,0.06,1.0,0.6666666666666666,0.6,0.6,0.6,1.0,0.0,0.6666666666666666,0.6,-74.0,-88.0,,0.6
229,229,-16.0,-15.0,0.6,0.58,1.0,0.06,0.0,3.0,20.0,30.0,-16.0,-15.0,0.06,0.06,1.0,1.0,0.6,0.8,0.6,1.0,0.0,1.0,0.6,-16.0,-15.0,,0.8
230,230,-39.0,-75.0,0.8,0.76,1.0,1.0,12.0,38.0,9.0,41.0,-39.0,-75.0,1.0,1.0,1.0,0.76,0.82,0.76,0.82,0.0,0.0,,,,,,
231,231,-19.0,-48.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,-19.0,-48.0,1.0,1.0,1.0,0.8,0.68,0.8,0.68,0.0,0.0,,,,,,
232,232,-16.0,-8.0,0.6,0.96,1.0,1.0,2.0,48.0,20.0,30.0,-16.0,-8.0,1.0,1.0,1.0,0.96,0.6,0.96,0.6,0.0,0.0,,,,,,
233,233,-25.0,-56.0,0.4,0.56,1.0,0.8,19.0,21.0,30.0,20.0,-25.0,-56.0,0.8,0.8,1.0,0.525,0.4,0.5238095238095238,0.4,1.0,0.0,0.525,0.4,-25.0,-56.0,,0.5238095238095238
234,234,-26.0,-73.0,0.3,0.88,0.2,1.0,6.0,44.0,5.0,5.0,-26.0,-73.0,0.2,1.0,0.2,0.88,0.5,0.88,0.5,0.0,1.0,0.5,0.88,-73.0,-26.0,,0.5
235,235,-39.0,-52.0,0.64,0.94,1.0,1.0,3.0,47.0,18.0,32.0,-39.0,-52.0,1.0,1.0,1.0,0.94,0.64,0.94,0.64,0.0,0.0,,,,,,
236,236,-54.0,-74.0,0.34,0.6,1.0,0.4,5.0,15.0,31.0,19.0,-54.0,-74.0,0.4,0.4,1.0,0.75,0.38,0.7272727272727273,0.38,1.0,0.0,0.75,0.38,-54.0,-74.0,,0.7272727272727273
237,237,-80.0,-23.0,0.82,0.22,1.0,0.1,4.0,1.0,4.0,46.0,-80.0,-23.0,0.1,0.1,1.0,0.2,0.92,0.2857142857142857,0.92,1.0,0.0,0.2,0.92,-80.0,-23.0,,0.2857142857142857
238,238,-38.0,-45.0,0.48,0.5,1.0,0.8,20.0,20.0,26.0,24.0,-38.0,-45.0,0.8,0.8,1.0,0.5,0.48,0.5,0.48,1.0,0.0,0.5,0.48,-38.0,-45.0,,0.5
239,239,-28.0,-40.0,0.38,0.74,1.0,1.0,13.0,37.0,31.0,19.0,-28.0,-40.0,1.0,1.0,1.0,0.74,0.38,0.74,0.38,0.0,0.0,,,,,,
240,240,21.0,60.0,0.36,0.66,0.2,1.0,18.0,32.0,6.0,4.0,21.0,60.0,0.2,1.0,0.2,0.64,0.4,0.64,0.4166666666666667,0.0,1.0,0.4,0.64,60.0,21.0,,0.4166666666666667
241,241,11.0,16.0,0.4,0.28,1.0,1.0,37.0,13.0,29.0,21.0,11.0,16.0,1.0,1.0,1.0,0.26,0.42,0.26,0.42,0.0,0.0,,,,,,
242,242,7.0,5.0,0.76,0.84,1.0,1.0,9.0,41.0,11.0,39.0,7.0,5.0,1.0,1.0,1.0,0.82,0.78,0.82,0.78,0.0,0.0,,,,,,
243,243,11.0,8.0,0.64,0.44,0.06,1.0,27.0,23.0,1.0,2.0,11.0,8.0,0.06,1.0,0.06,0.46,0.6666666666666666,0.46,0.6,0.0,1.0,0.6666666666666666,0.46,8.0,11.0,,0.6
244,244,40.0,50.0,0.5,0.72,1.0,0.1,1.0,4.0,25.0,25.0,40.0,50.0,0.1,0.1,1.0,0.8,0.5,0.7142857142857143,0.5,1.0,0.0,0.8,0.5,40.0,50.0,,0.7142857142857143
245,245,-33.0,-60.0,0.26,0.42,0.4,1.0,28.0,22.0,17.0,3.0,-33.0,-60.0,0.4,1.0,0.4,0.44,0.15,0.44,0.18181818181818182,0.0,1.0,0.15,0.44,-60.0,-33.0,,0.18181818181818182
246,246,-101.0,-82.0,0.84,0.68,1.0,0.4,5.0,15.0,8.0,42.0,-101.0,-82.0,0.4,0.4,1.0,0.75,0.84,0.7272727272727273,0.84,1.0,0.0,0.75,0.84,-101.0,-82.0,,0.7272727272727273
247,247,-30.0,-29.0,0.94,0.88,1.0,1.0,6.0,44.0,4.0,46.0,-30.0,-29.0,1.0,1.0,1.0,0.88,0.92,0.88,0.92,0.0,0.0,,,,,,
248,248,-80.0,-89.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,-80.0,-89.0,1.0,1.0,1.0,0.8,0.68,0.8,0.68,0.0,0.0,,,,,,
249,249,-34.0,-94.0,0.16,0.88,1.0,1.0,7.0,43.0,41.0,9.0,-34.0,-94.0,1.0,1.0,1.0,0.86,0.18,0.86,0.18,0.0,0.0,,,,,,
250,250,97.0,86.0,0.68,0.64,1.0,1.0,18.0,32.0,16.0,34.0,97.0,86.0,1.0,1.0,1.0,0.64,0.68,0.64,0.68,0.0,0.0,,,,,,
251,251,80.0,23.0,0.82,0.22,1.0,0.1,4.0,1.0,4.0,46.0,80.0,23.0,0.1,0.1,1.0,0.2,0.92,0.2857142857142857,0.92,1.0,0.0,0.2,0.92,80.0,23.0,,0.2857142857142857
252,252,74.0,88.0,0.6,0.68,1.0,0.06,1.0,2.0,20.0,30.0,74.0,88.0,0.06,0.06,1.0,0.6666666666666666,0.6,0.6,0.6,1.0,0.0,0.6666666666666666,0.6,74.0,88.0,,0.6
253,253,84.0,95.0,0.68,0.76,0.2,1.0,12.0,38.0,5.0,5.0,84.0,95.0,0.2,1.0,0.2,0.76,0.5,0.76,0.5,0.0,1.0,0.5,0.76,95.0,84.0,,0.5
254,254,9.0,22.0,0.68,0.56,1.0,1.0,22.0,28.0,16.0,34.0,9.0,22.0,1.0,1.0,1.0,0.56,0.68,0.56,0.68,0.0,0.0,,,,,,
255,255,85.0,78.0,0.18,0.18,1.0,1.0,41.0,9.0,40.0,10.0,85.0,78.0,1.0,1.0,1.0,0.18,0.2,0.18,0.2,0.0,0.0,,,,,,
256,256,89.0,74.0,0.7,0.6,1.0,0.06,1.0,2.0,15.0,35.0,89.0,74.0,0.06,0.06,1.0,0.6666666666666666,0.7,0.6,0.7,1.0,0.0,0.6666666666666666,0.7,89.0,74.0,,0.6
257,257,54.0,132.0,0.48,0.88,1.0,1.0,6.0,44.0,26.0,24.0,54.0,132.0,1.0,1.0,1.0,0.88,0.48,0.88,0.48,0.0,0.0,,,,,,
