trial_number,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,prop_left_o,prop_right_o,pl,pr,mag_ambig,mag_unambig,ml,mr,info_amb,rl,rr
184,24,26,36,14,0.48,0.72,0.52,0.28,,,-25,-55,1,1,1
186,33,17,36,14,0.66,0.74,0.34,0.26,,,44,61,1,1,1
187,12,38,5,45,0.26,0.1,0.74,0.9,,,4,15,1,1,1
189,2,48,12,38,0.04,0.22,0.96,0.78,,,11,2,1,1,1
190,14,36,46,4,0.28,0.94,0.72,0.06,,,12,134,1,1,1
195,36,14,19,31,0.72,0.38,0.28,0.62,,,-106,-44,1,1,1
196,24,26,26,24,0.5,0.5,0.5,0.5,,,-11,-19,1,1,1
198,13,37,30,20,0.26,0.6,0.74,0.4,,,-16,-38,1,1,1
203,3,47,18,32,0.06,0.36,0.94,0.64,,,-39,-52,1,1,1
207,13,37,31,19,0.26,0.62,0.74,0.38,,,28,40,1,1,1
208,37,13,15,35,0.72,0.32,0.28,0.68,,,62,22,1,1,1
209,39,11,31,19,0.8,0.62,0.2,0.38,,,118,32,1,1,1
211,25,25,30,20,0.52,0.6,0.48,0.4,,,-63,-13,1,1,1
213,18,32,2,48,0.34,0.06,0.66,0.94,,,-15,-5,1,1,1
215,41,9,41,9,0.82,0.82,0.18,0.18,,,-85,-78,1,1,1
217,6,44,26,24,0.12,0.52,0.88,0.48,,,-54,-132,1,1,1
219,11,39,24,26,0.2,0.48,0.8,0.52,,,-11,-31,1,1,1
222,21,29,21,29,0.42,0.42,0.58,0.58,,,15,17,1,1,1
223,38,12,28,22,0.78,0.58,0.22,0.42,,,130,68,1,1,1
225,18,32,16,34,0.36,0.32,0.64,0.68,,,-97,-86,1,1,1
229,22,28,16,34,0.44,0.32,0.56,0.68,,,-9,-22,1,1,1
231,3,47,25,25,0.04,0.52,0.96,0.48,,,-31,-31,1,1,1
232,14,36,22,28,0.3,0.44,0.7,0.56,,,-5,-12,1,1,1
234,9,41,27,23,0.16,0.58,0.84,0.42,,,-7,-14,1,1,1
235,10,40,13,37,0.2,0.28,0.8,0.72,,,-38,-42,1,1,1
236,10,40,16,34,0.2,0.32,0.8,0.68,,,-80,-89,1,1,1
237,22,28,6,44,0.44,0.12,0.56,0.88,,,-114,-78,1,1,1
239,3,47,20,30,0.04,0.4,0.96,0.6,,,-5,-25,1,1,1
241,37,13,29,21,0.72,0.6,0.28,0.4,,,11,16,1,1,1
242,9,41,11,39,0.16,0.24,0.84,0.76,,,7,5,1,1,1
247,27,23,13,37,0.56,0.28,0.44,0.72,,,-11,-42,1,1,1
248,17,33,16,34,0.36,0.32,0.64,0.68,,,-23,-7,1,1,1
249,13,37,11,39,0.28,0.2,0.72,0.8,,,-47,-24,1,1,1
250,18,32,16,34,0.36,0.32,0.64,0.68,,,97,86,1,1,1
254,22,28,16,34,0.44,0.32,0.56,0.68,,,9,22,1,1,1
255,41,9,40,10,0.82,0.82,0.18,0.18,,,85,78,1,1,1
257,6,44,26,24,0.12,0.52,0.88,0.48,,,54,132,1,1,1
259,11,39,24,26,0.2,0.48,0.8,0.52,,,11,31,1,1,1
260,8,42,4,46,0.16,0.08,0.84,0.92,,,-6,-5,1,1,1
261,7,43,41,9,0.12,0.84,0.88,0.16,,,-34,-94,1,1,1
263,37,13,25,25,0.74,0.52,0.26,0.48,,,-8,-9,1,1,1
268,26,24,37,13,0.52,0.76,0.48,0.24,,,11,14,1,1,1
269,48,2,4,46,0.96,0.08,0.04,0.92,,,125,5,1,1,1
270,10,40,14,36,0.2,0.28,0.8,0.72,,,38,42,1,1,1
271,10,40,16,34,0.2,0.32,0.8,0.68,,,80,89,1,1,1
272,22,28,6,44,0.44,0.12,0.56,0.88,,,114,78,1,1,1
274,3,47,20,30,0.04,0.4,0.96,0.6,,,5,25,1,1,1
276,37,13,29,21,0.72,0.6,0.28,0.4,,,-11,-16,1,1,1
277,9,41,11,39,0.16,0.24,0.84,0.76,,,-7,-5,1,1,1
280,31,19,21,29,0.64,0.4,0.36,0.6,,,-72,-60,1,1,1
281,6,44,4,46,0.12,0.06,0.88,0.94,,,-30,-29,1,1,1
282,8,42,33,17,0.16,0.68,0.84,0.32,,,-18,-47,1,1,1
284,37,13,4,46,0.76,0.06,0.24,0.94,,,-116,-42,1,1,1
288,3,47,18,32,0.06,0.36,0.94,0.64,,,39,52,1,1,1
291,19,31,30,20,0.36,0.6,0.64,0.4,,,93,127,1,1,1
294,48,2,25,25,0.96,0.52,0.04,0.48,,,125,63,1,1,1
297,34,16,27,23,0.68,0.56,0.32,0.44,,,-39,-42,1,1,1
298,12,38,25,25,0.24,0.48,0.76,0.52,,,-42,-61,1,1,1
299,10,40,33,17,0.18,0.68,0.82,0.32,,,-37,-115,1,1,1
