Eyetracker File is:	Ambi_B32_block4_1807310815.edfScanner Trigger at times:	39000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
40	0.24	0.2	1	1	96	86	3200	5000	4200	1500	3100	3800	2500	3400	2	5666	5684	9900	17748	15233	21165	17749	35	2449	bet_left	Nothing yet	1	1	0	2	96	1	1	0	3	96	0	blah	3333333	Not_first_trial	635664	614501	617716	620165	620183	624399	625915	629732	632247	632248	614499
90	0.52	0.44	0.04	1	125	79	3400	5000	2100	1500	4200	0	0	0	2	3899	3917	6034	Not shocked this trial	No picture this trial	7549	blah_de_blah_de_blah	36	482	bet_right	Nothing yet	0	0	0	5	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	646329	638782	642197	642679	642697	644814	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	638780
40	0.68	0.64	1	1	29	48	4800	5000	3000	1500	3100	0	0	0	2	6033	6051	9067	Not shocked this trial	No picture this trial	10582	blah_de_blah_de_blah	37	1216	bet_left	Nothing yet	1	1	0	3	29	1	0	0	1	29	Not fifth trial	blah	3333333	Not_first_trial	661127	650547	655362	656578	656596	659612	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	650545
90	0.88	0.12	1	0.06	125	17	3900	5000	3600	1500	5000	0	0	0	2	4199	4217	7833	Not shocked this trial	No picture this trial	9349	blah_de_blah_de_blah	38	282	bet_right	Nothing yet	1	1	0	4	17	2	0	0	1	17	Not fifth trial	blah	3333333	Not_first_trial	673593	664246	668161	668443	668461	672077	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	664244
90	0.2	0.44	1	1	38	27	5400	5000	5600	1500	6000	0	0	0	2	6166	6184	11800	Not shocked this trial	No picture this trial	13315	blah_de_blah_de_blah	39	749	bet_right	Nothing yet	0	1	0	4	0	2	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	691924	678611	684026	684775	684793	690409	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	678609
90	0.6	0.16	1	0.08	65	44	3800	5000	2300	1500	3500	2800	2500	3500	2	4333	4351	6667	13515	11000	17032	13516	40	516	bet_right	Nothing yet	1	0	0	4	44	3	0	0	2	44	0	blah	3333333	Not_first_trial	714972	697942	701757	702273	702291	704607	706123	708940	711455	711456	697940
40	0.52	0.38	1	0.8	9	13	3300	5000	4400	1500	5600	0	0	0	2	3699	3717	8133	Not shocked this trial	No picture this trial	9649	blah_de_blah_de_blah	41	382	bet_left	Nothing yet	1	0	0	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	728137	718490	721805	722187	722205	726621	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	718488
90	0.16	0.64	1	1	9	37	2800	5000	3000	1500	5500	0	0	0	2	3266	3284	6300	Not shocked this trial	No picture this trial	7816	blah_de_blah_de_blah	42	449	bet_right	Nothing yet	0	1	0	5	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	741569	733755	736570	737019	737037	740053	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	733753
90	0.12	0.84	1	0.2	34	94	3800	5000	4300	1500	4200	0	0	0	1	4199	4217	8533	Not shocked this trial	No picture this trial	10049	blah_de_blah_de_blah	43	382	bet_right	Nothing yet	1	1	0	5	94	0	1	0	2	94	Not fifth trial	blah	3333333	Not_first_trial	757134	747086	750902	751284	751302	755618	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	747085
40	0.24	0.4	1	1	7	25	4500	5000	2900	1500	3600	0	0	0	2	5933	5950	8867	Not shocked this trial	No picture this trial	10382	blah_de_blah_de_blah	44	1416	bet_left	Nothing yet	1	1	0	1	7	1	1	0	2	7	Not fifth trial	blah	3333333	Not_first_trial	771732	761352	765867	767283	767300	770217	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	761350
40	0.38	0.26	0.04	1	63	51	5200	5000	3700	1500	3600	2900	2500	3400	1	5932	5950	9666	16614	14099	20031	16615	45	716	bet_left	Nothing yet	1	0	0	5	0	1	1	0	3	0	0	blah	3333333	Not_first_trial	795380	775350	780565	781281	781299	785015	786531	789448	791963	791964	775349
90	0.26	0.62	1	1	28	40	5100	5000	3700	1500	3000	0	0	0	2	5666	5684	9400	Not shocked this trial	No picture this trial	10915	blah_de_blah_de_blah	46	549	bet_right	Nothing yet	0	1	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	809911	798998	804113	804662	804680	808396	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	798996
40	0.72	0.32	1	1	62	22	3100	5000	5200	1500	3200	0	0	0	1	3499	3517	8733	Not shocked this trial	No picture this trial	10249	blah_de_blah_de_blah	47	382	bet_left	Nothing yet	1	1	0	3	62	0	1	0	1	62	Not fifth trial	blah	3333333	Not_first_trial	823177	812929	816045	816427	816445	821661	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	812928
90	0.4	0.72	0.08	1	9	5	4700	5000	4300	1500	3000	0	0	0	2	5233	5250	9566	Not shocked this trial	No picture this trial	11082	blah_de_blah_de_blah	48	516	bet_right	Nothing yet	0	0	0	3	0	0	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	837475	826395	831110	831626	831643	835959	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	826393
90	0.8	0.62	1	1	118	32	2700	5000	4900	1500	3000	0	0	0	2	3500	3518	8434	Not shocked this trial	No picture this trial	9949	blah_de_blah_de_blah	49	783	bet_right	Nothing yet	0	0	0	1	0	0	1	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	850440	840493	843208	843991	844009	848925	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	840491
40	0.4	0.2	1	1	81	82	5500	5000	5800	1500	4900	2300	2500	3600	1	5866	5883	11699	18048	15532	21664	18048	50	350	bet_left	Nothing yet	1	1	0	1	81	0	2	0	3	81	0	blah	3333333	Not_first_trial	875121	853458	858973	859323	859340	865156	866672	868989	871505	871505	853457
	879000	882000	885000	888000	891000	894000	897000
